value,var,ver,pft,param,time
0.5147375,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,4
7.5026164,BA,No recruitement,evergreen temperate conifer,Low RDI,4
7.501456,BA,No recruitement,evergreen temperate conifer,high RDI,4
7.501456,BA,Recruitement,evergreen temperate conifer,Low RDI,4
4.286103,BA,No recruitement,deciduous temperate broadleaved,Low RDI,4
4.0159197,BA,No recruitement,deciduous temperate broadleaved,high RDI,4
5.2713723,BA,Recruitement,deciduous temperate broadleaved,Low RDI,4
0.025255693,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,4
0.025273085,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,4
0.025273085,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,4
0.027599672,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,4
0.026739152,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,4
0.023492811,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,4
1.4976255,IND,No recruitement,evergreen temperate conifer,Low RDI,4
1.4953334,IND,No recruitement,evergreen temperate conifer,high RDI,4
1.4953334,IND,Recruitement,evergreen temperate conifer,Low RDI,4
0.7162007,IND,No recruitement,deciduous temperate broadleaved,Low RDI,4
0.7148611,IND,No recruitement,deciduous temperate broadleaved,high RDI,4
1.215641,IND,Recruitement,deciduous temperate broadleaved,Low RDI,4
0.2523679,RDI,No recruitement,evergreen temperate conifer,Low RDI,5
0.25227198,RDI,No recruitement,evergreen temperate conifer,high RDI,5
0.25227198,RDI,Recruitement,evergreen temperate conifer,Low RDI,5
0.4179906,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,5
0.39799225,RDI,No recruitement,deciduous temperate broadleaved,high RDI,5
0.54595166,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,5
7.731806,BA,No recruitement,evergreen temperate conifer,Low RDI,5
7.7306857,BA,No recruitement,evergreen temperate conifer,high RDI,5
7.730685,BA,Recruitement,evergreen temperate conifer,Low RDI,5
4.7748775,BA,No recruitement,deciduous temperate broadleaved,Low RDI,5
4.4749613,BA,No recruitement,deciduous temperate broadleaved,high RDI,5
5.705386,BA,Recruitement,deciduous temperate broadleaved,Low RDI,5
0.025640478,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,5
0.025664978,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,5
0.025664978,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,5
0.029132266,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,5
0.028238827,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,5
0.024454236,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,5
1.4970617,IND,No recruitement,evergreen temperate conifer,Low RDI,5
1.4939862,IND,No recruitement,evergreen temperate conifer,high RDI,5
1.4939862,IND,Recruitement,evergreen temperate conifer,Low RDI,5
0.71597934,IND,No recruitement,deciduous temperate broadleaved,Low RDI,5
0.714181,IND,No recruitement,deciduous temperate broadleaved,high RDI,5
1.2145109,IND,Recruitement,deciduous temperate broadleaved,Low RDI,5
0.2733309,RDI,No recruitement,evergreen temperate conifer,Low RDI,6
0.27320987,RDI,No recruitement,evergreen temperate conifer,high RDI,6
0.27320987,RDI,Recruitement,evergreen temperate conifer,Low RDI,6
0.446604,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,6
0.4299428,RDI,No recruitement,deciduous temperate broadleaved,high RDI,6
0.583145,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,6
8.469037,BA,No recruitement,evergreen temperate conifer,Low RDI,6
8.467884,BA,No recruitement,evergreen temperate conifer,high RDI,6
8.467884,BA,Recruitement,evergreen temperate conifer,Low RDI,6
5.2177534,BA,No recruitement,deciduous temperate broadleaved,Low RDI,6
4.9642963,BA,No recruitement,deciduous temperate broadleaved,high RDI,6
6.2346783,BA,Recruitement,deciduous temperate broadleaved,Low RDI,6
0.026836075,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,6
0.026869563,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,6
0.026869563,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,6
0.030462353,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,6
0.029757759,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,6
0.02557334,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,6
1.4965742,IND,No recruitement,evergreen temperate conifer,Low RDI,6
1.4926418,IND,No recruitement,evergreen temperate conifer,high RDI,6
1.4926418,IND,Recruitement,evergreen temperate conifer,Low RDI,6
0.7157479,IND,No recruitement,deciduous temperate broadleaved,Low RDI,6
0.7134971,IND,No recruitement,deciduous temperate broadleaved,high RDI,6
1.2133701,IND,Recruitement,deciduous temperate broadleaved,Low RDI,6
0.29505703,RDI,No recruitement,evergreen temperate conifer,Low RDI,7
0.29490012,RDI,No recruitement,evergreen temperate conifer,high RDI,7
0.29490012,RDI,Recruitement,evergreen temperate conifer,Low RDI,7
